Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
34596.21,48286.74,32100.95,68038.26,55510.46,70885.42,57451.85,57960.13
34611.5,48299.35,32107.92,68043.36,55486.59,70887.3,57422.61,57960.93
34607.47,48306.86,32094.24,68066.69,55495.44,70896.42,57428.24,57960.13
34589.5,48302.3,32080.03,68077.42,55527.09,70899.37,57459.09,57955.3
34582.8,48290.76,32081.37,68058.11,55538.09,70890.52,57473.84,57956.91
34597.01,48288.08,32097.73,68033.7,55513.15,70879.79,57451.85,57961.2
34612.3,48298.54,32104.43,68035.31,55488.47,70883.01,57422.88,57963.34
34608.81,48309.0,32092.9,68061.06,55497.05,70892.4,57427.44,57963.88
34591.65,48305.25,32080.03,68072.05,55528.17,70893.2,57457.48,57960.93
34583.33,48293.44,32081.64,68051.67,55540.24,70882.21,57474.91,57958.79
34596.48,48292.1,32093.97,68030.48,55518.78,70874.16,57456.68,57961.2
34612.84,48302.83,32100.95,68037.19,55497.05,70875.5,57429.85,57963.08
34612.3,48311.68,32092.36,68062.67,55508.59,70883.81,57433.61,57960.93
34595.4,48307.39,32078.95,68074.74,55542.92,70886.5,57464.72,57959.05
34585.48,48298.0,32077.88,68057.84,55557.67,70878.45,57479.47,57958.52
34598.08,48298.0,32090.76,68038.26,55540.51,70872.28,57459.63,57962.54
34613.37,48308.2,32098.8,68046.84,55520.93,70876.84,57431.73,57964.15
34612.3,48316.24,32092.36,68071.25,55530.58,70885.42,57435.22,57962.0
34596.74,48312.22,32080.29,68083.05,55563.04,70887.57,57466.06,57962.27
34588.16,48300.95,32080.56,68068.3,55577.52,70881.13,57481.35,57964.15
34600.23,48297.74,32094.78,68047.38,55557.14,70874.16,57460.7,57965.49
34617.66,48309.27,32103.36,68053.82,55535.41,70876.3,57432.27,57966.83
34613.64,48320.8,32092.36,68084.66,55548.28,70888.37,57437.1,57967.37
34595.94,48316.78,32077.08,68100.22,55581.81,70895.88,57466.87,57966.83
34588.7,48304.71,32080.83,68080.91,55593.88,70886.23,57480.55,57962.81
34600.23,48303.37,32093.71,68057.03,55571.35,70876.84,57457.75,57962.27
34616.06,48314.63,32098.8,68066.96,55551.5,70884.35,57429.05,57967.37
34613.37,48324.29,32090.76,68095.66,55562.23,70895.62,57431.73,57969.25
34598.89,48318.39,32080.29,68107.46,55592.27,70896.96,57461.5,57967.64
34590.84,48306.32,32082.17,68088.42,55604.07,70887.57,57477.87,57968.98
34601.57,48301.76,32093.44,68062.4,55578.86,70875.77,57457.21,57970.32
34617.66,48309.27,32098.8,68067.76,55553.11,70877.11,57429.32,57968.98
34616.32,48318.93,32091.02,68094.05,55560.89,70883.55,57431.19,57968.71
34595.13,48315.71,32073.32,68107.19,55595.49,70889.18,57462.58,57968.17
34586.55,48303.37,32073.32,68090.03,55609.71,70883.81,57479.21,57968.17
34601.57,48300.42,32090.76,68064.01,55584.49,70873.35,57458.82,57967.37
34618.74,48309.81,32099.07,68067.76,55559.28,70877.11,57430.39,57969.25
34616.86,48318.66,32088.88,68096.73,55568.94,70890.25,57432.8,57970.32
34599.96,48315.17,32076.0,68109.07,55599.78,70895.08,57463.92,57970.86
